Provider ID	Name	Address	City	State	ZIP	County	Phone	Hospital Type	Ownership	Emergency Services	Location
10001	SOUTHEAST ALABAMA MEDICAL CENTER	1108 ROSS CLARK CIRCLE	DOTHAN	AL	36301	HOUSTON	3347938701	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.215379379000467, -85.36146587999968)
10005	MARSHALL MEDICAL CENTER SOUTH	2505 U S HIGHWAY 431 NORTH	BOAZ	AL	35957	MARSHALL	2565938310	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	2505 U S HIGHWAY 431 NORTH BOAZ, AL 35957 (34.22133455500045, -86.15937514799964)
10006	ELIZA COFFEE MEMORIAL HOSPITAL	205 MARENGO STREET	FLORENCE	AL	35631	LAUDERDALE	2567688400	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	205 MARENGO STREET FLORENCE, AL 35631 (34.795039606000444, -87.68507485299966)
10007	MIZELL MEMORIAL HOSPITAL	702 N MAIN ST	OPP	AL	36467	COVINGTON	3344933541	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	702 N MAIN ST OPP, AL 36467 (31.292159523000464, -86.25539902199966)
10008	CRENSHAW COMMUNITY HOSPITAL	101 HOSPITAL CIRCLE	LUVERNE	AL	36049	CRENSHAW	3343353374	Acute Care Hospitals	Proprietary	FALSE	101 HOSPITAL CIRCLE LUVERNE, AL 36049 (31.69311635000048, -86.26549483099967)
10011	ST VINCENT'S EAST	50 MEDICAL PARK EAST DRIVE	BIRMINGHAM	AL	35235	JEFFERSON	2058383122	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	50 MEDICAL PARK EAST DRIVE BIRMINGHAM, AL 35235 (33.595265517000485, -86.66531866799966)
10012	DEKALB REGIONAL MEDICAL CENTER	200 MED CENTER DRIVE	FORT PAYNE	AL	35968	DE KALB	2568453150	Acute Care Hospitals	Proprietary	TRUE	200 MED CENTER DRIVE FORT PAYNE, AL 35968 (34.44060759100046, -85.75726760699968)
10016	SHELBY BAPTIST MEDICAL CENTER	1000 FIRST STREET NORTH	ALABASTER	AL	35007	SHELBY	2056208100	Acute Care Hospitals	Voluntary non-profit - Church	TRUE	1000 FIRST STREET NORTH ALABASTER, AL 35007 (33.254429322000476, -86.81407933399964)
10018	CALLAHAN EYE HOSPITAL	1720 UNIVERSITY BLVD	BIRMINGHAM	AL	35233	JEFFERSON	2053258100	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	1720 UNIVERSITY BLVD BIRMINGHAM, AL 35233 (33.50314015000049, -86.80242858299965)
10019	HELEN KELLER MEMORIAL HOSPITAL	1300 SOUTH MONTGOMERY AVENUE	SHEFFIELD	AL	35660	COLBERT	2563864556	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	1300 SOUTH MONTGOMERY AVENUE SHEFFIELD, AL 35660 (34.74643089500046, -87.69893502799965)
10021	DALE MEDICAL CENTER	126 HOSPITAL AVE	OZARK	AL	36360	DALE	3347742601	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	126 HOSPITAL AVE OZARK, AL 36360 (31.451350713000465, -85.63094293699965)
10022	CHEROKEE MEDICAL CENTER	400 NORTHWOOD DR	CENTRE	AL	35960	CHEROKEE	2569275531	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	400 NORTHWOOD DR CENTRE, AL 35960 (34.16275020900048, -85.64348979299967)
10023	BAPTIST MEDICAL CENTER SOUTH	2105 EAST SOUTH BOULEVARD	MONTGOMERY	AL	36116	MONTGOMERY	3342882100	Acute Care Hospitals	Voluntary non-profit - Church	TRUE	2105 EAST SOUTH BOULEVARD MONTGOMERY, AL 36116 (32.32718605800045, -86.27659060999969)
10024	JACKSON HOSPITAL & CLINIC INC	1725 PINE STREET	MONTGOMERY	AL	36106	MONTGOMERY	3342938000	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	1725 PINE STREET MONTGOMERY, AL 36106 (32.36658118100047, -86.28577143999968)
10025	GEORGE H. LANIER MEMORIAL HOSPITAL	4800 48TH ST	VALLEY	AL	36854	CHAMBERS	3347561400	Acute Care Hospitals	Voluntary non-profit - Other	TRUE	4800 48TH ST VALLEY, AL 36854 (32.82374993900049, -85.16972400499964)
10029	EAST ALABAMA MEDICAL CENTER	2000 PEPPERELL PARKWAY	OPELIKA	AL	36801	LEE	3347493411	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	2000 PEPPERELL PARKWAY OPELIKA, AL 36801 (32.63808805900044, -85.40445272899967)
10032	WEDOWEE HOSPITAL	209 NORTH MAIN STREET	WEDOWEE	AL	36278	RANDOLPH	2563572111	Acute Care Hospitals	Government - Local	TRUE	209 NORTH MAIN STREET WEDOWEE, AL 36278 (33.31155057800049, -85.48497697399966)
10033	UNIVERSITY OF ALABAMA HOSPITAL	619 SOUTH 19TH STREET	BIRMINGHAM	AL	35233	JEFFERSON	2059344011	Acute Care Hospitals	Government - State	TRUE	619 SOUTH 19TH STREET BIRMINGHAM, AL 35233 (33.506166978000465, -86.80188076899964)
10034	COMMUNITY HOSPITAL INC	805 FRIENDSHIP ROAD	TALLASSEE	AL	36078	ELMORE	3342836541	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	805 FRIENDSHIP ROAD TALLASSEE, AL 36078 (32.53492777600047, -85.90985375199966)
10035	CULLMAN REGIONAL MEDICAL CENTER	1912 ALABAMA HIGHWAY 157	CULLMAN	AL	35058	CULLMAN	2567372000	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	1912 ALABAMA HIGHWAY 157 CULLMAN, AL 35058 (34.198596068000484, -86.80404845799967)
10036	ANDALUSIA REGIONAL HOSPITAL	849 SOUTH THREE NOTCH STREET	ANDALUSIA	AL	36420	COVINGTON	3342228466	Acute Care Hospitals	Proprietary	TRUE	849 SOUTH THREE NOTCH STREET ANDALUSIA, AL 36420 (31.297978656000453, -86.49481434799964)
10038	STRINGFELLOW MEMORIAL HOSPITAL	301 EAST 18TH ST	ANNISTON	AL	36201	CALHOUN	2562358900	Acute Care Hospitals	Proprietary	TRUE	301 EAST 18TH ST ANNISTON, AL 36201 (33.667678056000454, -85.83426678999967)
10039	HUNTSVILLE HOSPITAL	101 SIVLEY RD	HUNTSVILLE	AL	35801	MADISON	2562651000	Acute Care Hospitals	Government - Hospital District or Authority	TRUE	101 SIVLEY RD HUNTSVILLE, AL 35801 (34.721080618000485, -86.58128515799967)
10040	GADSDEN REGIONAL MEDICAL CENTER	1007 GOODYEAR AVENUE	GADSDEN	AL	35903	ETOWAH	2564944000	Acute Care Hospitals	Proprietary	TRUE	1007 GOODYEAR AVENUE GADSDEN, AL 35903 (34.009380242000475, -85.96778839099966)
10044	MARION REGIONAL MEDICAL CENTER	1256 MILITARY STREET SOUTH	HAMILTON	AL	35570	MARION	2059216200	Acute Care Hospitals	Voluntary non-profit - Private	TRUE	1256 MILITARY STREET SOUTH HAMILTON, AL 35570 (34.12668982400049, -87.98987352799969)
10045	FAYETTE MEDICAL CENTER	1653 TEMPLE AVENUE NORTH	FAYETTE	AL	35555	FAYETTE	2059325966	Acute Care Hospitals	Voluntary non-profit - Other	TRUE	1653 TEMPLE AVENUE NORTH FAYETTE, AL 35555 (33.70769618300045, -87.82377536199965)
